5 1:0.304408 2:0.304408 3:0.098660 4:0.037436 5:0.017936 6:0.017677 7:0.044359 8:0.106365 9:0.184580 10:0.304408 11:0.198015 12:0.024692 13:0.019126 14:0.009042 15:0.006178 16:0.048348 17:0.219956 18:0.304408 19:0.304408 20:0.304408 21:0.036894 22:0.005622 23:0.013036 24:0.017456 25:0.030714 26:0.062161 27:0.221665 28:0.304408 29:0.185742 30:0.053653 31:0.016562 32:0.020637 33:0.016550 34:0.032923 35:0.101254 36:0.304408
8 1:0.137018 2:0.111434 3:0.176009 4:0.155596 5:0.145296 6:0.134762 7:0.161033 8:0.127728 9:0.118116 10:0.194401 11:0.193078 12:0.194187 13:0.164020 14:0.177284 15:0.126135 16:0.071891 17:0.128908 18:0.205752 19:0.062873 20:0.106420 21:0.228450 22:0.228450 23:0.228450 24:0.228450 25:0.228450 26:0.127605 27:0.076436 28:0.168932 29:0.228450 30:0.228450 31:0.228450 32:0.200836 33:0.084472 34:0.048824 35:0.103962 36:0.143547
8 1:0.119337 2:0.033571 3:0.051229 4:0.027328 5:0.030296 6:0.023813 7:0.052656 8:0.316169 9:0.311872 10:0.093429 11:0.027821 12:0.027623 13:0.033319 14:0.023299 15:0.039467 16:0.082803 17:0.227418 18:0.207029 19:0.171213 20:0.051041 21:0.049022 22:0.051559 23:0.034558 24:0.024553 25:0.041415 26:0.378307 27:0.378307 28:0.198860 29:0.029709 30:0.022717 31:0.013945 32:0.009270 33:0.051168 34:0.065442 35:0.378307 36:0.378307
8 1:0.267031 2:0.222156 3:0.096237 4:0.049310 5:0.024972 6:0.005116 7:0.029975 8:0.130680 9:0.267031 10:0.267031 11:0.267031 12:0.150417 13:0.067110 14:0.036077 15:0.011217 16:0.082297 17:0.101352 18:0.255018 19:0.267031 20:0.267031 21:0.075128 22:0.050769 23:0.049227 24:0.012186 25:0.035759 26:0.161080 27:0.267031 28:0.267031 29:0.267031 30:0.110072 31:0.033605 32:0.026014 33:0.007345 34:0.095963 35:0.181016 36:0.267031
8 1:0.096527 2:0.026159 3:0.020803 4:0.016310 5:0.016446 6:0.047172 7:0.322871 8:0.322871 9:0.158564 10:0.072154 11:0.052883 12:0.020223 13:0.011856 14:0.018718 15:0.014135 16:0.322871 17:0.322871 18:0.322871 19:0.013327 20:0.001882 21:0.000865 22:0.011323 23:0.036520 24:0.109252 25:0.322871 26:0.301147 27:0.020902 28:0.024593 29:0.016208 30:0.009219 31:0.006450 32:0.046485 33:0.066663 34:0.322871 35:0.322871 36:0.055337
5 1:0.069689 2:0.176132 3:0.203408 4:0.263839 5:0.263839 6:0.226590 7:0.048100 8:0.017086 9:0.021778 10:0.228651 11:0.263839 12:0.263839 13:0.182620 14:0.113376 15:0.054617 16:0.021171 17:0.026449 18:0.045433 19:0.160765 20:0.213365 21:0.231576 22:0.263839 23:0.217090 24:0.104186 25:0.073580 26:0.056329 27:0.070479 28:0.210074 29:0.263839 30:0.215442 31:0.149325 32:0.145851 33:0.053859 34:0.025489 35:0.049082 36:0.082034
8 1:0.239325 2:0.269615 3:0.220109 4:0.121787 5:0.031191 6:0.082413 7:0.175521 8:0.193428 9:0.154029 10:0.269615 11:0.269615 12:0.186801 13:0.122431 14:0.053402 15:0.015425 16:0.021911 17:0.020295 18:0.086188 19:0.169658 20:0.173597 21:0.161006 22:0.074788 23:0.145043 24:0.044169 25:0.235267 26:0.269615 27:0.269615 28:0.178807 29:0.165667 30:0.109165 31:0.048628 32:0.120618 33:0.039588 34:0.110787 35:0.203292 36:0.200230
8 1:0.350628 2:0.078454 3:0.002535 4:0.003485 5:0.001525 6:0.001253 7:0.006287 8:0.012087 9:0.350628 10:0.350628 11:0.036822 12:0.009814 13:0.006795 14:0.001110 15:0.001333 16:0.008298 17:0.026934 18:0.350628 19:0.350628 20:0.018941 21:0.003219 22:0.002343 23:0.005387 24:0.001352 25:0.011229 26:0.039919 27:0.350628 28:0.350628 29:0.024381 30:0.013607 31:0.004429 32:0.005717 33:0.000494 34:0.009513 35:0.035632 36:0.350628
8 1:0.224023 2:0.309869 3:0.275557 4:0.061879 5:0.031341 6:0.015198 7:0.006351 8:0.014065 9:0.186401 10:0.309869 11:0.284254 12:0.127478 13:0.010175 14:0.027228 15:0.023642 16:0.013073 17:0.024396 18:0.309869 19:0.309869 20:0.309869 21:0.060993 22:0.006729 23:0.006769 24:0.003382 25:0.001761 26:0.006219 27:0.211428 28:0.309869 29:0.098510 30:0.023365 31:0.009391 32:0.017253 33:0.007019 34:0.003017 35:0.012172 36:0.309869
8 1:0.028943 2:0.069613 3:0.228222 4:0.304148 5:0.304148 6:0.053764 7:0.017764 8:0.030971 9:0.022539 10:0.062080 11:0.088833 12:0.178790 13:0.304148 14:0.271229 15:0.032431 16:0.006085 17:0.008418 18:0.024565 19:0.156835 20:0.296017 21:0.304148 22:0.304148 23:0.173459 24:0.085278 25:0.020532 26:0.028528 27:0.039151 28:0.162946 29:0.149889 30:0.159532 31:0.296579 32:0.139430 33:0.086496 34:0.044253 35:0.048650 36:0.083206
