3 1:0.023628 2:0.015423 3:0.034634 4:0.079976 5:0.340954 6:0.340954 7:0.102959 8:0.029669 9:0.018306 10:0.010397 11:0.011354 12:0.016217 13:0.053906 14:0.340954 15:0.340954 16:0.090312 17:0.021993 18:0.005158 19:0.029182 20:0.027097 21:0.030339 22:0.154521 23:0.340954 24:0.322129 25:0.031631 26:0.024525 27:0.017171 28:0.025966 29:0.015888 30:0.026387 31:0.170783 32:0.340954 33:0.321403 34:0.019257 35:0.014928 36:0.009177
3 1:0.016581 2:0.020438 3:0.034256 4:0.134100 5:0.318061 6:0.228029 7:0.089061 8:0.029703 9:0.009122 10:0.014807 11:0.021904 12:0.090676 13:0.254523 14:0.318061 15:0.318061 16:0.146639 17:0.069870 18:0.030868 19:0.043409 20:0.078087 21:0.047379 22:0.309046 23:0.318061 24:0.092307 25:0.047055 26:0.028458 27:0.008610 28:0.102304 29:0.119485 30:0.081600 31:0.318061 32:0.318061 33:0.160378 34:0.147130 35:0.105236 36:0.029338
3 1:0.019703 2:0.024586 3:0.034888 4:0.212488 5:0.347030 6:0.153454 7:0.085695 8:0.070900 9:0.026584 10:0.006025 11:0.009652 12:0.028095 13:0.233393 14:0.347030 15:0.117832 16:0.019451 17:0.013103 18:0.009571 19:0.082731 20:0.091754 21:0.087549 22:0.347030 23:0.347030 24:0.206200 25:0.085799 26:0.123630 27:0.092572 28:0.023593 29:0.030937 30:0.050927 31:0.347030 32:0.347030 33:0.129529 34:0.025013 35:0.033452 36:0.027558
3 1:0.014642 2:0.008639 3:0.005874 4:0.021096 5:0.382591 6:0.346967 7:0.125734 8:0.021793 9:0.019910 10:0.002131 11:0.000274 12:0.005690 13:0.043244 14:0.382591 15:0.370864 16:0.031517 17:0.002404 18:0.001764 19:0.028760 20:0.015562 21:0.017898 22:0.061927 23:0.382591 24:0.263879 25:0.071328 26:0.017768 27:0.017731 28:0.008734 29:0.002730 30:0.010722 31:0.134365 32:0.382591 33:0.182399 34:0.016070 35:0.005289 36:0.002808
3 1:0.003950 2:0.010615 3:0.108789 4:0.128662 5:0.291029 6:0.237487 7:0.027181 8:0.013624 9:0.008277 10:0.107199 11:0.046237 12:0.141384 13:0.207674 14:0.291029 15:0.291029 16:0.039036 17:0.079276 18:0.061752 19:0.056857 20:0.186131 21:0.291029 22:0.220944 23:0.258906 24:0.072865 25:0.028103 26:0.027270 27:0.029875 28:0.100773 29:0.088952 30:0.291029 31:0.291029 32:0.291029 33:0.144130 34:0.058191 35:0.099663 36:0.127691
3 1:0.048489 2:0.056443 3:0.195182 4:0.219632 5:0.262611 6:0.079542 7:0.126556 8:0.050218 9:0.065079 10:0.068545 11:0.212351 12:0.262611 13:0.262611 14:0.262611 15:0.142845 16:0.182325 17:0.159745 18:0.099611 19:0.083222 20:0.091662 21:0.262611 22:0.262611 23:0.262611 24:0.046542 25:0.074564 26:0.042778 27:0.078114 28:0.029946 29:0.049762 30:0.262611 31:0.262611 32:0.254245 33:0.057592 34:0.047643 35:0.081709 36:0.074723
3 1:0.043843 2:0.042750 3:0.076146 4:0.119176 5:0.399440 6:0.183879 7:0.095930 8:0.059668 9:0.038637 10:0.046544 11:0.030976 12:0.047112 13:0.093343 14:0.399440 15:0.153989 16:0.070589 17:0.049290 18:0.029891 19:0.095264 20:0.043682 21:0.202861 22:0.201286 23:0.399440 24:0.110569 25:0.050859 26:0.108161 27:0.146275 28:0.112337 29:0.062259 30:0.180950 31:0.186808 32:0.399440 33:0.079219 34:0.021420 35:0.049259 36:0.077773
3 1:0.037646 2:0.036364 3:0.041456 4:0.067626 5:0.422929 6:0.124324 7:0.019970 8:0.001419 9:0.006178 10:0.041240 11:0.032845 12:0.042960 13:0.090490 14:0.422929 15:0.287524 16:0.060008 17:0.013417 18:0.020688 19:0.023985 20:0.025396 21:0.072590 22:0.146533 23:0.422929 24:0.078184 25:0.008476 26:0.003518 27:0.005950 28:0.037275 29:0.019999 30:0.064381 31:0.262419 32:0.422929 33:0.212488 34:0.019639 35:0.008532 36:0.032850
3 1:0.031871 2:0.039604 3:0.220845 4:0.042562 5:0.080966 6:0.211067 7:0.054401 8:0.032566 9:0.026266 10:0.222693 11:0.194714 12:0.335967 13:0.110744 14:0.179781 15:0.335967 16:0.166592 17:0.094839 18:0.102191 19:0.026688 20:0.090463 21:0.335967 22:0.081988 23:0.048857 24:0.032181 25:0.008697 26:0.006060 27:0.003795 28:0.201034 29:0.169923 30:0.335967 31:0.114585 32:0.070389 33:0.270314 34:0.182439 35:0.167607 36:0.126086
3 1:0.026897 2:0.038210 3:0.041724 4:0.289987 5:0.346656 6:0.153708 7:0.118887 8:0.098905 9:0.067438 10:0.019980 11:0.028494 12:0.029395 13:0.340242 14:0.346656 15:0.145232 16:0.069036 17:0.047277 18:0.040554 19:0.007573 20:0.016269 21:0.018388 22:0.317396 23:0.346656 24:0.041377 25:0.018478 26:0.019574 27:0.008656 28:0.009350 29:0.015363 30:0.016525 31:0.346656 32:0.346656 33:0.055452 34:0.016243 35:0.010848 36:0.005891
